symbol,name,destAddresses,sourceAddress,coingeckoId,logo,ethAddress,ethMarkets,terraAddress,terraMarkets,bscAddress,bscMarkets,maticAddress,maticMarkets,avaxAddress,avaxMarkets,oasisAddress,oasisMarkets,source,solAddress,solMarkets
BUSDbs,Binance USD (Wormhole from BSC),"{'sol': '5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2', 'eth': '0x7B4B0B9b024109D182dCF3831222fbdA81369423', 'terra': 'terra1skjr69exm6v8zellgjpaa2emhwutrk5a6dz7dd', 'avax': '0xA41a6c7E25DdD361343e8Cb8cFa579bbE5eEdb7a', 'matic': '0xa8d394fe7380b8ce6145d5f85e6ac22d4e91acde'}",0xe9e7cea3dedca5984780bafc599bd69add087d56,binance-usd,https://etherscan.io/token/images/binanceusd_32.png,0x7B4B0B9b024109D182dCF3831222fbdA81369423,['uniswap'],terra1skjr69exm6v8zellgjpaa2emhwutrk5a6dz7dd,,,,0xa8d394fe7380b8ce6145d5f85e6ac22d4e91acde,['quickswap'],0xA41a6c7E25DdD361343e8Cb8cFa579bbE5eEdb7a,,,,bsc,5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2,"['saber', 'mercurial', 'sunny']"
CAKE,PancakeSwap Token (Wormhole),"{'sol': 'J8LKx7pr9Zxh9nMhhT7X3EBmj5RzuhFrHKyJAe2F2i9S', 'eth': '0x7c8161545717a334f3196e765d9713f8042EF338', 'terra': 'terra1xvqlpjl2dxyel9qrp6qvtrg04xe3jh9cyxc6av', 'avax': '0x98a4d09036Cc5337810096b1D004109686E56Afc'}",0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,pancakeswap,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/J8LKx7pr9Zxh9nMhhT7X3EBmj5RzuhFrHKyJAe2F2i9S/logo.png,0x7c8161545717a334f3196e765d9713f8042EF338,,terra1xvqlpjl2dxyel9qrp6qvtrg04xe3jh9cyxc6av,,,,,,0x98a4d09036Cc5337810096b1D004109686E56Afc,,,,bsc,J8LKx7pr9Zxh9nMhhT7X3EBmj5RzuhFrHKyJAe2F2i9S,
USDCbs,USD Coin (Wormhole from BSC),"{'sol': 'FCqfQSujuPxy6V42UvafBhsysWtEq1vhjfMN1PUbgaxA', 'eth': '0x7cd167B101D2808Cfd2C45d17b2E7EA9F46b74B6', 'terra': 'terra1yljlrxvkar0c6ujpvf8g57m5rpcwl7r032zyvu', 'avax': '0x6145E8a910aE937913426BF32De2b26039728ACF'}",0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,0x7cd167B101D2808Cfd2C45d17b2E7EA9F46b74B6,,terra1yljlrxvkar0c6ujpvf8g57m5rpcwl7r032zyvu,,,,,,0x6145E8a910aE937913426BF32De2b26039728ACF,,,,bsc,FCqfQSujuPxy6V42UvafBhsysWtEq1vhjfMN1PUbgaxA,"['saber', 'mercurial', 'sunny']"
USDTbs,Tether USD (Wormhole from BSC),"{'sol': '8qJSyQprMC57TWKaYEmetUR3UUiTP2M3hXdcvFhkZdmv', 'eth': '0xDe60aDfDdAAbaAAC3dAFa57B26AcC91Cb63728c4', 'terra': 'terra1vlqeghv5mt5udh96kt5zxlh2wkh8q4kewkr0dd', 'avax': '0xA67BCC0D06d7d13A13A2AE30bF30f1B434f5a28B'}",0x55d398326f99059fF775485246999027B3197955,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,0xDe60aDfDdAAbaAAC3dAFa57B26AcC91Cb63728c4,,terra1vlqeghv5mt5udh96kt5zxlh2wkh8q4kewkr0dd,,,,,,0xA67BCC0D06d7d13A13A2AE30bF30f1B434f5a28B,,,,bsc,8qJSyQprMC57TWKaYEmetUR3UUiTP2M3hXdcvFhkZdmv,"['saber', 'mercurial']"
LUNA,LUNA (Wormhole),"{'sol': 'F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W', 'eth': '0xbd31ea8212119f94a611fa969881cba3ea06fa3d', 'bsc': '0x156ab3346823B651294766e23e6Cf87254d68962', 'matic': '0x9cd6746665D9557e1B9a775819625711d0693439', 'avax': '0x70928E5B188def72817b7775F0BF6325968e563B'}",uluna,terra-luna,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W/logo.png,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,['uniswap'],,,0x156ab3346823B651294766e23e6Cf87254d68962,,0x9cd6746665D9557e1B9a775819625711d0693439,['quickswap'],0x70928E5B188def72817b7775F0BF6325968e563B,,,,terra,F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,"['saber', 'mercurial', 'sunny', 'atrix']"
UST,UST (Wormhole),"{'sol': '9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i', 'eth': '0xa693B19d2931d498c5B318dF961919BB4aee87a5', 'bsc': '0x3d4350cD54aeF9f9b2C29435e0fa809957B3F30a', 'matic': '0xE6469Ba6D2fD6130788E0eA9C0a0515900563b59', 'avax': '0xb599c3590F42f8F995ECfa0f85D2980B76862fc1'}",uusd,terra-usd,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i/logo.png,0xa693B19d2931d498c5B318dF961919BB4aee87a5,"['curve', 'uniswap']",,,0x3d4350cD54aeF9f9b2C29435e0fa809957B3F30a,['pancakeswap'],0xE6469Ba6D2fD6130788E0eA9C0a0515900563b59,['quickswap'],0xb599c3590F42f8F995ECfa0f85D2980B76862fc1,['traderjoe'],,,terra,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,"['saber', 'mercurial', 'jupiter', 'aldrin', 'sunny', 'apricot']"
MATICpo,MATIC (Wormhole from Polygon),"{'sol': 'Gz7VkD4MacbEB6yC5XD3HcumEiYx2EtDYYrfikGsvopG', 'eth': '0x7c9f4C87d911613Fe9ca58b579f737911AAD2D43', 'terra': 'terra1dtqlfecglk47yplfrtwjzyagkgcqqngd5lgjp8', 'bsc': '0xc836d8dC361E44DbE64c4862D55BA041F88Ddd39', 'avax': '0xf2f13f0B7008ab2FA4A2418F4ccC3684E49D20Eb'}",0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,polygon,https://polygonscan.com/token/images/wMatic_32.png,0x7c9f4C87d911613Fe9ca58b579f737911AAD2D43,['uniswap'],terra1dtqlfecglk47yplfrtwjzyagkgcqqngd5lgjp8,,0xc836d8dC361E44DbE64c4862D55BA041F88Ddd39,['pancakeswap'],,,0xf2f13f0B7008ab2FA4A2418F4ccC3684E49D20Eb,,,,matic,Gz7VkD4MacbEB6yC5XD3HcumEiYx2EtDYYrfikGsvopG,['atrix']
USDCpo,USD Coin (PoS) (Wormhole from Polygon),"{'sol': 'E2VmbootbVCBkMNNxKQgCLMS1X3NoGMaYAsufaAsf7M', 'eth': '0x566957eF80F9fd5526CD2BEF8BE67035C0b81130', 'terra': 'terra1kkyyh7vganlpkj0gkc2rfmhy858ma4rtwywe3x', 'bsc': '0x672147dD47674757C457eB155BAA382cc10705Dd', 'avax': '0x543672E9CBEC728CBBa9C3Ccd99ed80aC3607FA8'}",0x2791bca1f2de4661ed88a30c99a7a9449aa84174,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,0x566957eF80F9fd5526CD2BEF8BE67035C0b81130,['uniswap'],terra1kkyyh7vganlpkj0gkc2rfmhy858ma4rtwywe3x,,0x672147dD47674757C457eB155BAA382cc10705Dd,['pancakeswap'],,,0x543672E9CBEC728CBBa9C3Ccd99ed80aC3607FA8,,,,matic,E2VmbootbVCBkMNNxKQgCLMS1X3NoGMaYAsufaAsf7M,['saber']
USDTpo,Tether USD (PoS) (Wormhole from Polygon),{'sol': '5goWRao6a3yNC4d6UjMdQxonkCMvKBwdpubU3qhfcdf1'},0xc2132d05d31c914a87c6611c10748aeb04b58e8f,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1/logo.png,,,,,,,,,,,,,matic,5goWRao6a3yNC4d6UjMdQxonkCMvKBwdpubU3qhfcdf1,['saber']
AVAX,AVAX (Wormhole),"{'sol': 'KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE', 'eth': '0x85f138bfEE4ef8e540890CFb48F620571d67Eda3', 'terra': 'terra1hj8de24c3yqvcsv9r8chr03fzwsak3hgd8gv3m', 'bsc': '0x96412902aa9aFf61E13f085e70D3152C6ef2a817', 'matic': '0x7Bb11E7f8b10E9e571E5d8Eace04735fDFB2358a'}",0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,avalanche,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE/logo.png,0x85f138bfEE4ef8e540890CFb48F620571d67Eda3,,terra1hj8de24c3yqvcsv9r8chr03fzwsak3hgd8gv3m,,0x96412902aa9aFf61E13f085e70D3152C6ef2a817,,0x7Bb11E7f8b10E9e571E5d8Eace04735fDFB2358a,,,,,,avax,KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE,['atrix']
JOE,JoeToken (Wormhole),{'sol': 'CriXdFS9iRAYbGEQiTcUqbWwG9RBmYt5B6LwTnoJ61Sm'},0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,joe,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CriXdFS9iRAYbGEQiTcUqbWwG9RBmYt5B6LwTnoJ61Sm/logo.png,,,,,,,,,,,,,avax,CriXdFS9iRAYbGEQiTcUqbWwG9RBmYt5B6LwTnoJ61Sm,
USDCav,USD Coin (Wormhole from Avalanche),{'terra': 'terra1pvel56a2hs93yd429pzv9zp5aptcjg5ulhkz7w'},0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,,,terra1pvel56a2hs93yd429pzv9zp5aptcjg5ulhkz7w,,,,,,,,,,avax,,
ROSE,ROSE (Wormhole),{},0xE4F5F5910b347A5AEFd12745a98eEEA97F69180e,oasis-network,https://assets.coingecko.com/coins/images/13162/small/rose.png,,,,,,,,,,,,,oasis,,
